Name,External ID,Control ID,Statement ID,Control Question
PRIV-04 Use data only for the purpose stated,PRIV-04,PRIV-04,,Use data only for the purpose stated
PRIV-05 Dispose of data once no longer needed per internal compliance process,PRIV-05,PRIV-05,,Dispose of data once no longer needed per internal compliance process
PRIV-06 Maintain documentation as part of internal control responsibilities,PRIV-06,PRIV-06,,Maintain documentation as part of internal control responsibilities
CONF-01 Data classification policies,CONF-01,CONF-01,,Data classification policies
CONF-02 Role-based access permissions,CONF-02,CONF-02,,Role-based access permissions
CONF-03 Use of encryption at rest and in transit,CONF-03,CONF-03,,Use of encryption at rest and in transit
CONF-04 Secure disposal processes for confidential information,CONF-04,CONF-04,,Secure disposal processes for confidential information
CONF-05 Retention schedules for confidential data,CONF-05,CONF-05,,Retention schedules for confidential data
AVAIL-01 Secure backup procedures,AVAIL-01,AVAIL-01,,Secure backup procedures
AVAIL-02 Disaster recovery plans,AVAIL-02,AVAIL-02,,Disaster recovery plans
AVAIL-03 Business continuity plans,AVAIL-03,AVAIL-03,,Business continuity plans
AVAIL-04 Environmental risk management assessments,AVAIL-04,AVAIL-04,,Environmental risk management assessments
AVAIL-05 Predictive capacity planning as part of formal readiness assessment,AVAIL-05,AVAIL-05,,Predictive capacity planning as part of formal readiness assessment
PI-01 Timely error detection and correction during high processing demand,PI-01,PI-01,,Timely error detection and correction during high processing demand
PI-02 Input validation and sanity checks,PI-02,PI-02,,Input validation and sanity checks
PI-03 Monitoring data pipelines to verify inputs and outputs match expected results,PI-03,PI-03,,Monitoring data pipelines to verify inputs and outputs match expected results
PI-04 Reconciling processed data through automated checks and reporting,PI-04,PI-04,,Reconciling processed data through automated checks and reporting
PI-05 Controls that prevent unauthorized system components' logic changes,PI-05,PI-05,,Controls that prevent unauthorized system components' logic changes
PI-06 Automated alerts for processing failures,PI-06,PI-06,,Automated alerts for processing failures
